filename,width,height,class,xmin,ymin,xmax,ymax,class_int
(10).jpg,260,164,kantong,64,21,188,155,0
(11).jpg,223,164,kantong,58,39,176,137,0
(12).jpg,164,164,kantong,25,26,104,148,0
(17).jpg,193,206,kantong,22,43,164,149,0
(18).jpg,206,206,kantong,106,8,199,165,0
(18).jpg,206,206,kantong,16,75,126,192,0
(24).jpg,215,215,kantong,19,21,197,209,0
(27).jpg,199,199,kantong,60,29,150,166,0
(28).jpg,203,203,kantong,25,8,171,193,0
(29).jpg,275,184,kantong,105,0,250,170,0
(31).jpg,249,183,kantong,0,12,180,166,0
(310).jpg,275,184,kertas,75,18,200,166,1
(410).jpg,147,206,kantong,9,9,139,188,0
(414).jpg,180,180,kantong,33,29,144,153,0
(417).jpg,302,168,kantong,24,22,125,137,0
(417).jpg,302,168,kantong,84,14,159,139,0
(417).jpg,302,168,kantong,213,37,289,144,0
(417).jpg,302,168,kantong,158,21,232,143,0
(421).jpg,310,163,kantong,93,0,238,162,0
(423).jpg,162,180,kantong,9,16,146,168,0
(424).jpg,180,180,kantong,33,9,146,173,0
(427).jpg,180,180,kantong,30,17,148,162,0
(428).jpg,240,180,kantong,22,2,218,180,0
(429).jpg,225,225,kantong,42,22,171,202,0
(433).jpg,145,218,kantong,11,18,133,198,0
(438).jpg,145,194,kantong,24,23,113,156,0
(441).jpg,137,175,kantong,5,1,132,165,0
(442).jpg,183,183,kantong,18,19,166,174,0
(444).jpg,170,182,kantong,22,2,162,174,0
(445).jpg,182,182,kantong,27,10,157,169,0
(446).jpg,181,181,kantong,31,8,152,169,0
(451).jpg,180,180,kantong,40,20,137,166,0
(455).jpg,125,200,kantong,19,9,112,177,0
(456).jpg,145,182,kantong,23,20,123,162,0
(461).jpg,145,187,kantong,7,11,140,177,0
(584).jpg,180,180,kantong,5,47,50,111,0
(584).jpg,180,180,kantong,20,82,73,144,0
(584).jpg,180,180,kantong,62,50,120,135,0
(584).jpg,180,180,kantong,102,42,173,144,0
(591).jpg,180,180,kantong,14,6,167,172,0
(592).jpg,180,180,kantong,44,18,138,165,0
(593).jpg,302,167,kantong,57,5,241,164,0
(594).jpg,170,180,kantong,7,17,166,169,0
(595).jpg,294,172,kantong,93,1,195,151,0
(6).jpg,299,168,kantong,83,11,213,140,0
(7).jpg,280,168,kantong,41,32,235,155,0
(8).jpg,312,163,kantong,40,57,189,162,0
(9).jpg,334,152,kantong,68,39,267,106,0
00a76046606aa888.jpg,1024,768,kantong,72,419,313,593,0
00a76046606aa888.jpg,1024,768,kantong,399,358,659,558,0
00a76046606aa888.jpg,1024,768,kantong,0,337,285,457,0
00d669e2390b50ee.jpg,1024,1024,kantong,0,193,276,1024,0
00d669e2390b50ee.jpg,1024,1024,kantong,190,4,848,1024,0
00d669e2390b50ee.jpg,1024,1024,kantong,793,341,1024,942,0
04517668a869f2d8.jpg,681,1024,kantong,56,91,477,869,0
05151ecc4b11216b.jpg,1024,768,kantong,285,9,662,727,0
05642dbfac7ae5b0.jpg,1024,768,kantong,231,205,429,501,0
05642dbfac7ae5b0.jpg,1024,768,kantong,634,238,849,719,0
05642dbfac7ae5b0.jpg,1024,768,kantong,497,154,674,406,0
